,value0,value1,value2,value3,value4,cost
0,60.99,74.52,75.19,84.96,58.91,4486.73
1,77.41,96.58,12.58,89.92,6.74,7469.60
2,43.33,-0.77,37.23,97.45,40.27,-73.25
3,78.37,85.20,3.65,33.47,31.93,6645.55
4,26.74,48.60,87.72,98.92,55.29,1245.06
5,75.66,53.16,62.22,52.94,88.42,3935.16
6,28.73,83.38,23.39,29.10,59.45,2337.06
7,2.86,76.00,8.12,56.10,36.87,180.48
8,16.39,43.41,31.15,61.85,8.05,704.10
9,27.54,49.34,51.56,83.83,69.47,1290.15
10,67.68,76.83,55.19,87.16,38.91,5161.32
11,77.41,96.58,12.58,89.92,6.74,7469.60
12,63.33,19.23,21.55,94.47,30.12,1187.89
13,77.65,88.20,4.85,53.47,31.75,6817.12
14,46.74,68.60,67.72,97.06,53.83,3153.07
15,76.39,73.16,53.06,63.29,68.42,5521.53
16,48.73,86.24,18.14,35.14,39.45,4163.74
17,22.86,86.83,9.44,73.97,20.49,1964.30
18,36.39,63.41,21.48,64.71,7.79,2300.21
19,27.86,54.04,40.22,84.05,59.09,1447.08
20,70.46,93.19,35.19,89.81,20.05,6546.68
21,77.41,96.58,12.58,89.92,6.74,7469.60
22,72.15,39.23,11.82,91.78,16.19,2814.31
23,77.22,93.30,6.90,73.47,15.99,7189.33
24,66.74,87.50,47.72,91.30,39.49,5800.92
25,76.89,83.33,44.42,83.29,48.42,6359.48
26,68.73,94.41,14.99,41.69,19.45,6470.21
27,42.86,98.41,11.84,81.57,5.43,4212.34
28,56.39,81.19,17.24,66.38,7.12,4571.96
29,47.86,74.04,20.22,87.21,39.09,3504.85
30,72.94,99.00,18.81,90.88,8.55,7212.74
31,77.41,96.58,12.58,89.92,6.74,7469.60
32,78.98,59.23,8.25,90.15,3.46,4674.45
33,77.17,97.76,9.53,85.00,8.29,7536.50
34,83.17,98.82,27.72,88.06,20.66,8198.51
35,79.38,91.28,30.14,92.05,28.42,7218.08
36,84.08,99.00,14.86,49.22,12.25,8311.60
37,56.39,99.00,13.07,72.49,4.66,5577.87
38,69.70,99.00,13.98,63.49,10.84,6889.42
39,67.86,91.35,8.43,67.21,19.50,6180.12
40,75.27,99.00,10.78,70.88,4.66,7447.56
41,80.71,97.66,13.51,89.13,11.11,7871.70
42,85.57,79.23,9.08,78.55,-0.28,6779.75
43,81.53,99.00,13.11,79.53,7.17,8064.27
44,89.90,99.00,17.41,81.25,12.40,8887.98
45,84.07,99.00,18.22,92.99,16.18,8306.62
46,93.36,99.00,15.02,67.91,9.46,9233.72
47,74.71,99.00,14.88,68.80,4.88,7391.40
48,89.70,99.00,13.20,63.44,11.37,8868.88
49,87.86,99.00,5.22,59.41,9.89,8688.80
50,86.84,99.00,10.66,61.34,6.86,8590.32
51,84.95,98.86,14.90,74.51,11.51,8386.92
52,90.08,98.84,12.39,66.85,4.31,8899.23
53,90.83,99.00,15.95,71.05,8.48,8983.66
54,93.24,99.00,12.60,68.64,7.03,9224.03
55,87.12,99.00,13.34,80.47,9.36,8615.97
56,97.05,99.00,15.08,75.34,8.36,9600.07
57,91.76,99.00,15.65,70.52,5.74,9078.51
58,99.00,99.00,14.08,64.17,9.36,9791.86
59,98.27,99.00,4.49,57.11,5.95,9722.88
60,94.98,99.00,10.78,58.17,8.69,9394.67
61,88.78,99.00,14.97,61.31,11.06,8778.42
62,94.04,99.00,15.00,61.83,6.67,9303.33
63,99.00,99.00,15.88,63.94,9.46,9791.79
64,95.05,99.00,11.72,60.64,5.28,9404.50
65,89.95,99.00,11.67,73.29,6.65,8898.16
66,99.00,99.00,14.39,76.99,7.95,9793.24
67,99.00,99.00,15.63,73.62,6.60,9794.61
68,99.00,99.00,15.00,69.09,7.90,9793.32
69,99.00,99.00,11.49,69.00,4.89,9796.28
70,98.22,99.00,11.40,59.56,7.36,9716.98
71,93.27,99.00,14.28,57.74,10.76,9223.08
72,96.65,99.00,13.81,65.63,6.22,9562.74
73,99.00,99.00,13.09,64.10,9.62,9791.58
74,97.54,99.00,11.23,57.62,4.53,9652.48
75,92.84,99.00,10.92,68.80,4.23,9187.11
76,99.00,99.00,12.12,76.05,6.52,9794.64
77,99.00,99.00,15.62,73.45,5.89,9795.33
78,99.00,99.00,12.71,71.03,6.48,9794.70
79,99.00,99.00,14.27,73.73,4.47,9796.73
80,99.00,99.00,12.96,67.10,5.02,9796.17
81,97.98,99.00,14.00,59.31,6.00,9694.67
82,98.74,99.00,13.64,67.59,5.27,9770.50
83,99.00,99.00,12.62,71.70,7.25,9793.93
84,99.00,99.00,12.50,61.84,4.21,9796.99
85,97.47,99.00,11.05,66.77,3.25,9645.99
86,99.00,99.00,11.41,68.99,5.29,9795.88
87,99.00,99.00,14.49,66.02,4.63,9796.59
88,99.00,99.00,11.76,71.76,4.91,9796.25
89,99.00,99.00,15.03,69.77,4.17,9797.04
90,99.00,99.00,14.66,70.14,3.53,9797.68
91,99.00,99.00,14.36,62.77,3.46,9797.77
92,99.00,99.00,13.60,64.69,4.53,9796.68
93,99.00,99.00,12.80,73.22,5.74,9795.44
94,99.00,99.00,14.39,64.24,3.57,9797.65
95,99.00,99.00,12.14,65.80,3.02,9798.17
96,99.00,99.00,11.33,63.80,4.04,9797.14
97,99.00,99.00,12.27,62.91,3.87,9797.32
98,99.00,99.00,11.64,67.88,3.79,9797.38
99,99.00,99.00,13.28,65.07,3.89,9797.31
